title,start_year,end_year,genre,summary_tvmaze,summary_imdb,rating_tvmaze,rating_imdb,votes,run_time,language,actors,status
L.A.'s Finest,2019,2020,"Action, Comedy, Crime","L.A.'s Finest follows Syd Burnett last seen in Miami taking down a drug cartel, who has left her complicated past behind to become an LAPD detective. Paired with a new partner, Nancy McKenna, a working mom with an equally complex past, Syd is pushed to examine whether her unapologetic lifestyle might be masking a greater personal secret. These two women don't agree on much, but they find common ground when it comes to taking on the most dangerous criminals in Los Angeles.","The spinoff series of Bad Boys films focuses on drug enforcement agent Sydney Burnett, now working for the Los Angeles Police Department.",6.4,6.0,5667,60,English,"Jessica Alba, Gabrielle Union, Duane Martin, Zach Gilford",Ended
Iron Fist,2017,2018,"Action, Adventure, Crime","After his family meets a tragic fate while on expedition in China, a young Rand is adopted by the people of the mystical lost city of K'un-Lun, where he's taught a magical fighting style. Years later, he returns to New York to fight crime.",A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.,7.0,6.5,118859,55,English,"Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey",Ended
Too Hot to Handle,2020,,"Game-Show, Reality-TV, Romance","On the shores of paradise, sexy singles meet, mingle ... and face a $100,000 celibacy challenge. Can they keep it clean — or will temptation win?","On the shores of paradise, gorgeous singles meet and mingle. But there's a twist. To win a $100,000 grand prize, they'll have to give up sex.",6.4,4.6,10008,40,English,"Desiree Burch, Marvin Anthony, Chase de Moor, Cam Holmes",Running
Hannibal,2013,2015,"Crime, Drama, Horror","Criminal profiler Will Graham is tasked by FBI agent Jack Crawford, the head of Behavioral Sciences, to help investigate the disappearances of eight young girls across Minnesota. Graham and Crawford's team investigate several subsequent murders, while also trying to catch the Chesapeake Ripper. With the investigation weighing heavily on Graham, Crawford decides to have him supervised by psychiatrist Dr. Hannibal Lecter, who, unbeknownst to them, is the Chesapeake Ripper himself, actively seeking to derail the investigation.",Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,8.3,8.5,236161,44,English,"Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne",Ended
Longmire,2012,2017,"Action, Crime, Drama","Longmire, a contemporary crime thriller set in Big Sky country, is based on the Walt Longmire Mystery novels by best-selling author Craig Johnson. It focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.","Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.",8.3,8.3,30685,60,English,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Cassidy Freeman",Ended
The Fall,2013,2016,"Crime, Drama, Thriller","This gripping psychological thriller forensically examines the lives of two hunters; one a serial killer that stalks his victims at random, and the other a high-powered detective superintendent brought in to catch him.",A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.,8.0,8.1,89590,60,English,"Gillian Anderson, Jamie Dornan, John Lynch, Aisling Franciosi",Ended
Jujutsu Kaisen,2020,,"Animation, Action, Adventure","Although Yuji Itadori looks like your average teenager, his immense physical strength is something to behold! Every sports club wants him to join, but Itadori would rather hang out with the school outcasts in the Occult Research Club. One day, the club manages to get their hands on a sealed cursed object. Little do they know the terror they'll unleash when they break the seal…",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,7.8,8.7,25386,24,Japanese,"Junya Enoki, Adam McArthur, Yûichi Nakamura, Yuma Uchida",Running
Dynasty,2017,2022,Drama,"This new version of the original ABC hit series from the 1980's. Dynasty follows two of America's wealthiest families, the Carringtons and the Colbys, as they feud for control over their fortune and their children. The series will be told primarily through the perspectives of two women at odds: Fallon Carrington — daughter of billionaire Blake Carrington — and her soon-to-be stepmother, Cristal — a Hispanic woman marrying into this WASP family and America's most powerful class.",Follows two of America's wealthiest families as they feud for control over their fortune and their children.,6.5,7.3,16666,42,English,"Elizabeth Gillies, Rafael de la Fuente, Robert Christopher Riley, Sam Adegoke",Ended
NCIS: Los Angeles,2009,2023,"Action, Crime, Drama","NCIS: Los Angeles is a drama about the high-stakes world of a division of NCIS that is charged with apprehending dangerous and elusive criminals that pose a threat to the nation's security. By assuming false identities and utilizing the most advanced technology, this team of highly-trained agents goes deep undercover, putting their lives on the line in the field to bring down their targets.","The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks.",7.9,6.7,49943,43,English,"Chris O'Donnell, Daniela Ruah, Barrett Foa, LL Cool J",Ended
The Movies That Made Us,2019,,Documentary,"These blockbusters brought us together and gave us the time of our lives. Meet the actors, directors and industry insiders who made them happen.",The histories of classic popular movies are examined.,6.8,7.8,3653,45,English,"Donald Ian Black, Danny Wallace, Jennifer Julian, Frank Price",To Be Determined
Ragnarok,2020,2023,"Action, Drama, Fantasy","Ragnarok unfolds in the small fictional town of Edda in the middle of the vast and enthralling Norwegian countryside and is a modern day coming of age drama rooted in Norse mythology, set in a high school arena.",A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarok -- unless someone intervenes in time.,7.3,7.5,31200,45,Norwegian,"David Stakston, Jonas Strand Gravli, Herman Tømmeraas, Theresa Frostad Eggesbø",Ended
Ginny & Georgia,2021,,"Comedy, Drama","Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy.","Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller.",6.8,7.5,35247,53,English,"Brianne Howey, Antonia Gentry, Diesel La Torraca, Jennifer Robertson",Running
Designated Survivor,2016,2019,"Action, Drama, Mystery","Kiefer Sutherland stars as Tom Kirkman, a lower-level cabinet member who is suddenly appointed President of the United States after a catastrophic attack on the US Capitol during the State of the Union, on the highly anticipated series Designated Survivor. In this dramatic thriller, Kirkman will struggle to keep the country and his own family from falling apart, while navigating the highly-volatile political arena and while leading the search to find who is responsible for the attack.",A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.,7.4,7.5,81326,60,English,"Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn",Ended
White Collar,2009,2014,"Comedy, Crime, Drama","The series focuses on the unlikely partnership between the very intelligent and charming con-artist Neal Caffrey and the hard-working and earnest FBI agent Peter Burke. In exchange for his freedom, and on the condition that he wear an ankle bracelet at all times, Caffrey provides his expertise in thievery to help Burke and agents Clinton Jones and Diana Berrigan catch other elusive white collar criminals.","A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman.",8.2,8.2,122230,40,English,"Matt Bomer, Tim DeKay, Willie Garson, Tiffani Thiessen",Ended
Dirty John,2018,2020,"Crime, Drama","Dirty John is an anthology series, based on epic true tales of love gone wrong.",Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,6.3,7.2,18088,44,English,"Connie Britton, Christian Slater, Eric Bana, Amanda Peet",Ended
The Killing,2011,2014,"Crime, Drama, Mystery","The Killing follows Seattle homicide detectives Stephen Holder and Sarah Linden and their work as detectives investigating murders. Sarah Linden takes cases very seriously and has issues keeping her work and family separate, as she pairs up with recovering addict Stephen Holder to solve dark murders.","A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car.",8.3,8.2,102312,45,English,"Mireille Enos, Joel Kinnaman, Billy Campbell, Liam James",Ended
Skins,2007,2013,Drama,"Irreverent comedy drama from the makers of Shameless, which follows the messy lives, loves, delirious highs and inevitable lows of a group of raucous teenage friends in Bristol.",The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who more want to be friends (and lovers) rather than authority figures.,7.9,8.2,77286,46,English,"Kaya Scodelario, Nicholas Hoult, Joe Dempsie, Hannah Murray",Ended
Death Note: Desu nôto,2006,2007,"Animation, Crime, Drama",,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,,9.0,262556,24,,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô",Ended
Naruto,2002,2007,"Animation, Action, Adventure","Naruto closely follows the life of a boy who is feared and detested by the villagers of the hidden leaf village of Konoha. The distrust of the boy has little to do with the boy himself, but it's what's inside him that causes anxiety. Long before Naruto came to be, a Kyuubi (demon fox) with great fury and power waged war taking many lives. The battle ensued for a long time until a man known as the Fourth Hokage, Yondaime, the strongest ninja in Konoha, fiercely fought the Kyuubi. The fight was soon won by Yondaime as he sealed the evil demon in a human body. Thus the boy, Naruto, was born. As Naruto grows he decides to become the strongest ninja in Konoha in an effort to show everyone that he is not as they perceive him to be, but is a human being worthy of love and admiration. But the road to becoming Hokage, the title for the strongest ninja in Konoha, is a long and arduous one. It is a path filled with betrayal, pain, and loss; but with hard work, Naruto may achieve Hokage.","Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",8.1,8.3,79832,24,Japanese,"Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura",Ended
Black Sails,2014,2017,"Adventure, Drama","1715. The Golden Age of Piracy. New Providence Island is a lawless territory, controlled by history's most notorious pirate captains. The most feared is Captain Flint.As the British Navy returns to redeem their land and exterminate Flint and his crew, another side of him emerges. Captain Flint aligns himself with Eleanor Guthrie, daughter of the local kingpin, to hunt the ultimate prize and ensure their survival.Many opponents stand in their way: rival captains, jealous of Flint's power; Eleanor's ambitious and intrusive father; and a young sailor recently recruited onto Flint's crew, John Silver, who constantly undermines his captain's agenda.","Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""",8.4,8.2,96550,56,English,"Jessica Parker Kennedy, Toby Stephens, Hannah New, Zach McGowan",Ended
Orphan Black,2013,2017,"Action, Drama, Sci-Fi","Orphan Black is about Sarah, an outsider and orphan whose life changes dramatically after witnessing the suicide of a woman, ""Beth"", who looks just like her. Sarah takes her identity, her boyfriend and her money. But instead of solving her problems, the street-smart chameleon is thrust headlong into a kaleidoscopic mystery. She makes the dizzying discovery that she and the dead woman are clones... but are they the only ones? Sarah quickly finds herself caught in the middle of a deadly conspiracy, racing to find answers.",A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,8.5,8.3,104501,44,English,"Tatiana Maslany, Dylan Bruce, Jordan Gavaris, Kevin Hanchard",Ended
Grimm,2011,2017,"Crime, Drama, Fantasy","Grimm is a drama series inspired by the classic Grimm Brothers' Fairy Tales. After Portland homicide detective Nick Burkhardt discovers he's descended from an elite line of criminal profilers known as ""Grimms"", he increasingly finds his responsibilities as a detective at odds with his new responsibilities as a Grimm.",A homicide detective discovers he is a descendant of hunters who fight supernatural forces.,8.4,7.8,111716,45,English,"David Giuntoli, Russell Hornsby, Silas Weir Mitchell, Sasha Roiz",Ended
Luther,2010,2019,"Crime, Drama, Mystery","A dark psychological crime drama starring Idris Elba as Luther, a man struggling with his own terrible demons, who might be as dangerous as the depraved murderers he hunts.",DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.,8.4,8.4,125749,60,English,"Idris Elba, Dermot Crowley, Michael Smiley, Warren Brown",Ended
Sexy Beasts,2021,2021,"Reality-TV, Romance",Sexy Beasts is a new dating show where real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test.,"Hoping to say goodbye to superficial dating, real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test.",,4.7,592,24,English,Rob Delaney,Ended
Murdoch Mysteries,2008,,"Crime, Drama, Mystery","Set in Toronto at the dawn of the 20th century, Murdoch Mysteries is a one-hour drama series that explores the intriguing world of William Murdoch, a methodical and dashing detective who pioneers innovative forensic techniques to solve some of the city's most gruesome murders. Murdoch's colleagues include the love of his life, coroner and psychiatrist Dr. Julia Ogden, a staunch ally who shares the detective's fascination for science; Constable George Crabtree, Murdoch's eager but sometimes naïve right-hand man; Inspector Brackenreid, Murdoch's skeptical yet reluctantly supportive boss; and coroner Dr. Emily Grace, Dr. Ogden's protégé.","In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders.",7.9,8.1,11437,48,English,"Yannick Bisson, Helene Joy, Thomas Craig, Jonny Harris",Running
Resident Evil: Infinite Darkness,2021,2021,"Animation, Action, Horror","Resident Evil: Infinite Darkness is based around the stories of the two popular characters, Leon S. Kennedy and Claire Redfield. By adding suspense into dynamic action scenes, this series will reveal a Resident Evil world unlike anything seen before.",Federal agent Leon S. Kennedy teams up with TerraSave staff member Claire Redfield to investigate a zombie outbreak. Based on the popular video game series of the same name by Capcom.,6.2,5.8,7128,26,English,"Nick Apostolides, Bill Butts, Kellen Goff, Stephanie Panisello",Ended
Reign,2013,2017,"Drama, Fantasy","Hidden between the lines of the history books is the story of Mary Stuart, the young woman the world would come to know as Mary, Queen of Scots. Queen of Scotland since she was six days old, the teenage Mary is already a headstrong monarch - beautiful, passionate, and poised at the very beginning of her tumultuous rise to power. Arriving in France with four close friends as her ladies-in-waiting, Mary has been sent to secure Scotland's strategic alliance by formalizing her arranged engagement to the French king's dashing son, Prince Francis. But the match isn't signed and sealed, it depends more on politics, religion and secret agendas than affairs of the heart. With danger and sexual intrigue around every dark castle corner, Mary rallies her ladies-in-waiting and steels herself, ready to rule the new land and balance the demands of her country and her heart.","Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court.",7.5,7.5,45045,42,English,"Adelaide Kane, Megan Follows, Celina Sinden, Torrance Coombs",Ended
Elementary,2012,2019,"Crime, Drama, Mystery","Elementary is a modern-day take on the classic Sherlock Holmes story about a crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London and a stint in rehab, eccentric Sherlock escapes to Manhattan where his wealthy father forces him to live with his worst nightmare - a sober companion, Dr. Watson.","A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.",8.3,7.9,103707,60,English,"Jonny Lee Miller, Lucy Liu, Aidan Quinn, Jon Michael Hill",Ended
The Missing,2014,2016,"Crime, Drama, Mystery",Thriller series exploring the emotional fallout of a child's abduction not only on the family but on the wider community.,Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.,8.0,8.2,23317,60,English,"Tchéky Karyo, Anastasia Hille, David Morrissey, Keeley Hawes",Ended
Hagane no renkinjutsushi,2009,2012,"Animation, Action, Adventure","Fullmetal Alchemist: Brotherhood is set in a fictional world where alchemy – the transmutation of raw materials into objects – is science, and the way of life. The series follows the Elric brothers, Edward and Alphonse, on their perilous journey in search of the legendary ""Philosopher's Stone"". They set forth hoping that the magical artifact can restore their bodies after a failed attempt to revive their dead mother cost Edward his left leg and right arm, while Alphonse's entire body was taken away leaving his soul affixed to a suit of armor.Source: Anime News Network",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,8.1,9.1,134855,24,Japanese,"Kent Williams, Iemasa Kayumi, Vic Mignogna, Romi Pak",Ended
Altered Carbon,2018,2020,"Action, Drama, Sci-Fi","Altered Carbon is set in the 25th century when the human mind has been digitized and the soul itself is transferable from one body to the next. Takeshi Kovacs, a former elite interstellar warrior known as an Envoy who has been imprisoned for 250 years, is downloaded into a future he'd tried to stop. If he can solve a single murder in a world where technology has made death nearly obsolete, he'll get a chance at a new life on Earth.","Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.",8.0,8.0,149002,60,English,"Chris Conner, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee",Ended
Enterprise,2001,2005,"Action, Adventure, Drama","Star Trek: Enterprise (ENT) focuses on the 22nd century adventures of Captain Jonathan Archer aboard the Enterprise NX-01 during the early days of interstellar travel. The NX designation indicates that this Enterprise is an experimental prototype; Unlike the starships of the four other Star Trek series, this Enterprise doesn't have deflector shields or phasers, but it does come equipped with a phase cannon and a rudimentary transporter that functions efficiently most of the time.","A century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation.",8.1,7.5,48148,60,English,"Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating",Ended
Black Clover,2017,2021,"Animation, Action, Adventure","Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus. However, as they grew up, some differences between them became plain. Yuno was a genius with magic, with amazing power and control, while Asta could not use magic at all, and tried to make up for his lack by training physically. When they received their Grimoires at age 15, Yuno got a spectacular book with a four-leaf clover (most people receive a three-leaf-clover), while Asta received nothing at all. However, when Yuno was threatened, the truth about Asta's power was revealed, he received a five-leaf clover Grimoire, a ""black clover""! Now the two friends are heading out in the world, both seeking the same goal!","Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.",7.4,8.3,13218,24,Japanese,"Dallas Reid, Cris George, Jill Harris, Christopher Sabat",Running
American Crime Story,2016,,"Biography, Crime, Drama",This anthology series dramatizes historic criminal cases in the U.S.,An anthology series centered around America's most notorious crimes and criminals.,7.1,8.4,83137,42,English,"Sarah Paulson, Annaleigh Ashford, Sterling K. Brown, Kenneth Choi",Running
Bloodline,2015,2017,"Drama, Thriller","Bloodline is a dramatic thriller that explores the demons lurking beneath the surface of a contemporary American family. The Rayburns are hard-working pillars of their Florida Keys community. But when the black sheep son comes home for the 45th anniversary of his parents' hotel, he threatens to expose the Rayburns' dark secrets and shameful past, pushing his siblings to the limits of family loyalty.",A family finds themselves forced to face their past secrets and scars when the black sheep returns home.,7.8,7.9,46111,60,English,"Kyle Chandler, Ben Mendelsohn, Linda Cardellini, Sissy Spacek",Ended
Revenge,2011,2015,"Drama, Mystery, Thriller","This is not a story about forgiveness; Revenge is a show about retribution. Meet Emily Thorne, the newest resident of The Hamptons. When she was a little girl (and known as Amanda Clarke) her father, David Clarke, was framed for a horrific crime and subsequently sent to prison. While serving his time, the conspirators plotted and murdered David in order to prevent the truth from coming out. Emily is now back with a new identity and ready to take vengeance on the people that murdered her father and stole her childhood.",An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.,7.7,7.8,114932,44,English,"Madeleine Stowe, Emily VanCamp, Gabriel Mann, Nick Wechsler",Ended
Z Nation,2014,2018,"Action, Comedy, Drama","Z Nation starts three years after the zombie virus has gutted the country, a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood. Although the antibodies he carries are the world's last, best hope for a vaccine, he hides a dark secret that threatens them all. With humankind's survival at stake, the ragtag band embarks on a journey of survival across three thousand miles of rusted-out post-apocalyptic America.","Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.",7.2,6.7,34226,44,English,"Russell Hodgkinson, Nat Zang, Keith Allan, Kellita Smith",Ended
Kim's Convenience,2016,2021,Comedy,"Kim's Convenience is the funny, heartfelt story of The Kims, a Korean-Canadian family, running a convenience store in downtown Toronto. Mr. and Mrs. Kim ('Appa' and 'Umma') immigrated to Toronto in the 80's to set up shop near Regent Park and had two kids, Jung and Janet who are now young adults. However, when Jung was 16, he and Appa had a major falling out involving a physical fight, stolen money and Jung leaving home. Father and son have been estranged since.Now, Appa and Umma run the store along with Janet who is studying photography at art school. Meanwhile Jung, who secretly stays in contact with Umma and Janet, is trying to turn his life around and recently landed a job at a car rental agency. The world of Kim's Convenience is real, colourful and urban - a diverse landscape of people and places and at the heart is the Kim family and their store. While the family continues to work and live, finding humour in the everyday tasks of running the store, they long for the day when the rift between Appa and Jung is mended and the family is whole once again.",The misadventures of a Korean-Canadian family running a convenience store.,8.0,8.2,12443,22,English,"Paul Sun-Hyung Lee, Jean Yoon, Andrea Bang, Simu Liu",Ended
Grace and Frankie,2015,2021,Comedy,Two nemeses become bonded jilted wives after their husbands reveal they have been having an affair with each other since the 1990s and now plan to get married.,"Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.",7.7,8.3,41520,30,English,"Jane Fonda, Lily Tomlin, Sam Waterston, Martin Sheen",Ended
Love Is Blind,2020,,"Reality-TV, Romance","With no distractions from the outside world, the singles talk to a stream of potential love interests and when a meaningful connection is made, they propose and then lay their eyes on their fiancé for the first time. Engaged and back in the real world, as the couples plan their wedding day, they will quickly discover whether they can turn their emotional connection into a physical one before the fast-approaching ceremony.","Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",5.5,6.1,5342,48,English,"Heather Ashley Chase, Nick Lachey, Vanessa Lachey, Kenny Barnes",Running
Jessica Jones,2015,2019,"Action, Crime, Drama","Haunted by a traumatic past, Jessica Jones uses her gifts as a private eye to find her tormentor before he can harm anyone else in Hell's Kitchen.","Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.",7.9,7.9,198056,56,English,"Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss",Ended
American Vandal,2017,2018,"Comedy, Crime, Drama","Clearly a riff on the streaming giant's acclaimed true crime series Making a Murderer and The Keepers, American Vandal is a true crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images. Over the course of the eight-episode season, an aspiring sophomore documentarian Peter Maldonado investigates the controversial and potentially unjust expulsion of Dylan Maxwell, the troubled senior accused of the phallic vandalization.",A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.,6.6,8.2,28093,34,English,"Tyler Alvarez, Griffin Gluck, Jimmy Tatro, Travis Tope",Ended
Cheers,1982,1993,"Comedy, Drama","Cheers takes viewers back to the Boston bar where everybody knows your name. As former baseball star Sam Malone and his colleague Diane Chambers fight their mutual attractions, they cater to their regulars including Norm Petersen and Cliff Claven. Talking about their problems, laughing at each other's flaws and trying to be there when someone needs them, the gang are joined by naïve farm boy Woody, bitter waitress Carla , troubled psychiatrist Frasier and his wife.","The regulars of the Boston bar ""Cheers"" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name.",8.0,7.9,49886,22,English,"Ted Danson, Rhea Perlman, John Ratzenberger, George Wendt",Ended
That '70s Show,1998,2006,"Comedy, Romance","Crank up the 8-track and flash back to a time when platform shoes and puka shells were all the rage in this hilarious retro-sitcom. For Eric, Kelso, Jackie, Hyde, Donna and Fez, a group of high school teens who spend most of their time hanging out in Eric's basement, life in the ‘70s isn't always so groovy. But between trying to figure out the meaning of life, avoiding their parents, and dealing with out-of-control hormones, they've learned one thing for sure: they'll always get by with a little help from their friends.","A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.",8.0,8.0,157990,22,English,"Topher Grace, Laura Prepon, Mila Kunis, Danny Masterson",Ended
Below Deck Mediterranean,2016,,Reality-TV,"With a new boat, new location, and new faces, the excitement, drama, and adventure of life aboard a private luxury yacht is taken to another level in the Mediterranean. Providing unparalleled service to wealthy and uncompromising guests is made even more difficult as the team faces everything from love triangles to seeing fellow crew members shockingly cross the line with guests. Voyaging from Santorini, Mykonos, and many of the Greek islands, each episode features a new group of elite clientele who present a new set of challenges, all while offering the crew a glamorous lifestyle and exotic perks that most people only dream of experiencing. For these young, attractive, and adventurous yachties, the ""work hard, play harder"" nature of the job combined with the pressure of working in the most exclusive yachting scene in the world pushes the team close to the breaking point on Below Deck Mediterranean.","A reality show following the crew of the Ionian Princess, a luxury charter yacht in the Mediterranean.",6.1,7.3,1327,43,English,"Hannah Ferrier, Sandy Yawn, Malia White, João Franco",Running
Sense8,2015,2018,"Drama, Mystery, Sci-Fi","A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.","A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.",8.1,8.3,144032,60,English,"Bae Doona, Jamie Clayton, Tina Desai, Tuppence Middleton",Ended
How to Become a Tyrant,2021,2021,"Documentary, Biography, History","Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history's despots prove in this sardonic docuseries.","Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history's despots prove in this sardonic docuseries.",7.4,7.4,3700,28,,"Peter Dinklage, Bruce Bueno de Mesquita, Waller Newell, Ruth Ben-Ghiat",Ended
Dead to Me,2019,2022,"Comedy, Crime, Drama",Dead to Me is about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.,7.7,8.0,61944,30,English,"Christina Applegate, Linda Cardellini, Sam McCarthy, Luke Roessler",Ended
Narcos: México,2018,2021,"Crime, Drama","Narcos: Mexico exploring the origins of the modern drug war by going back to its roots, beginning at a time when the Mexican trafficking world was a loose and disorganized confederation of independent growers and dealers. Witness the rise of the Guadalajara Cartel in the 1980s as Félix Gallardo takes the helm, unifying traffickers in order to build an empire. When DEA agent Kiki Camarena moves his wife and young son from California to Guadalajara to take on a new post, he quickly learns that his assignment will be more challenging than he ever could have imagined. As Kiki garners intelligence on Félix and becomes more entangled in his mission, a tragic chain of events unfold, affecting the drug trade and the war against it for years to come.",The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.,7.8,8.4,64838,50,English,"Scoot McNairy, Diego Luna, José María Yazpik, Fermín Martínez",Ended
Adventure Time,2010,2018,"Animation, Action, Adventure",,"A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.",,8.6,81525,11,,"John DiMaggio, Jeremy Shada, Tom Kenny, Hynden Walch",Ended
Nanatsu no taizai,2014,2021,"Animation, Action, Adventure",,The legend of the confrontation between the Seven Deadly Sins and the Holy Knights.,,8.0,26282,24,,"Bryce Papenbrook, Erika Harlacher, Max Mittelman, Cristina Valenzuela",Ended
My Unorthodox Life,2021,,Reality-TV,"This series centers around the personal and professional life of fashion mogul Julia Haart - former member of an ultra-Orthodox Jewish community turned CEO of Elite World Group. Since taking the reins of a global talent empire, Haart has been on a mission to revolutionize the industry from the inside out - all while being a mother of four. Her children include a TikToker, an app designer, a lawyer, and a high schooler torn between two conflicting cultures, and Haart helps them reconcile their Orthodox upbringings with the modern world. My Unorthodox Life takes you on a journey through Julia Haart's untamed, unpredictable, and unorthodox life.",The personal and professional life of fashion mogul Julia Haart - former member of an ultra-Orthodox Jewish community turned CEO of Elite World Group.,,5.1,742,43,English,"David Green, Batsheva Haart",To Be Determined
Slasher,2016,2023,"Crime, Drama, Horror","Slasher is a Canadian-American horror anthology series in which each season sees a new rampaging serial killer leave carnage in their wake as their next victims fight to stay alive. From a quiet town to a former summer camp, dark secrets are unearthed as the past refuses to die. As the body count rises, those remaining alive must figure out how to protect themselves from a killer who wants nothing more than make them suffer for their sins.Each season features completely new story unrelated to other seasons, keeping you guessing who the killer is and who is going to be left alive in the end.",An anthology series featuring rampaging serial killers leaving carnage in their wake as their next victims fight to stay alive.,6.5,6.7,12031,60,English,"Paula Brancati, Dean McDermott, Joanne Vannicola, Christopher Jacot",Ended
Anne,2017,2019,"Drama, Family",,"The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.",,8.7,43433,60,,"Amybeth McNulty, Geraldine James, R.H. Thomson, Dalila Bela",Ended
