title,start_year,end_year,genre,rating,votes,plot_summary,run_time,gross,production_type,actors,director
Hagane no renkinjutsushi: Mirosu no seinaru hoshi,2011,,"['Animation', 'Action', 'Adventure']",7.0,4653,"In the lost holy land of Milos, the Elrics search for the truth behind an unknown form of alchemy. What secrets are hidden in Milos? Riddles must be solved and dangers faced before the truth can be found.",110,0.18,,"['Vic Mignogna', 'Maxey Whitehead', 'Alexis Tipton', 'Matthew Mercer']",['Kazuya Murata']
Lovestruck: The Musical,2013,,"['Comedy', 'Fantasy', 'Musical']",6.4,2313,A jaded woman who never fulfilled her dreams of a Broadway career pushes her daughter to have one. Daughter rebels and goes to Italy to get married. The mother drinks a potion that makes her young again and tries to sabotage the wedding.,83,,TV Movie,"['Jane Seymour', 'Sara Paxton', 'Chelsea Kane', 'Drew Seeley']",['Sanaa Hamri']
Sahara,2017,,"['Animation', 'Adventure', 'Comedy']",5.6,2589,A young cobra and his scorpion best friend go on a journey across the Sahara desert to save a new-found love.,86,,,"['Omar Sy', 'Louane Emera', 'Franck Gastambide', 'Vincent Lacoste']",['Pierre Coré']
Hits,2014,,"['Comedy', 'Drama']",5.8,1860,A small town in upstate New York plays host to its inhabitants' delusions of grandeur.,96,,,"['Meredith Hagner', 'Matt Walsh', 'James Adomian', 'Jake Cherry']",['David Cross']
Sora yori mo Tooi Basho,2018,,"['Animation', 'Adventure', 'Comedy']",8.3,1764,"Mari Tamaki is in her second year of high school and wants to start something. It's then that she meets Shirase, a girl with few friends who's considered weirdo by the rest of the class and...",23,,,"['Inori Minase', 'Kana Hanazawa', 'Yuka Iguchi', 'Saori Hayami']",
The Brawler,2018,,"['Biography', 'Crime', 'Drama']",4.8,495,"In 1975, a Bayonne, New Jersey underdog boxer gets a shot to fight the champ.",95,,I,"['Zach McGowan', 'Amy Smart', 'Joe Pantoliano', 'Taryn Manning']",['Ken Kushner']
Grizzy and the Lemmings,2007,Ongoing,"['Animation', 'Comedy', 'Family']",7.0,445,"The forest ranger's house is the only area of human civilization in the middle of untamed wilderness in a vast natural reserve in Canada. When the ranger is away, a bear named Grizzy feels ...",7,,Series,"['Pierre-Alain de Garrigues', 'Josselin Charier']",
True and the Rainbow Kingdom,2017,Ongoing,"['Animation', 'Short', 'Adventure']",7.1,395,Fearless eight-year old guardian True uses wishes from the Wishing Tree to help protect the citizens of the colorful land of the Rainbow Kingdom.,22,,Series,"['Michela Luci', 'Nicolas Aqui', 'Jamie Watson', 'Eric Peterson']",
El silencio del pantano,2019,,"['Action', 'Adventure', 'Crime']",4.9,3486,A writer of crime stories discovers that reality is more criminal than the stories he writes.,92,,,"['Pedro Alonso', 'Nacho Fresneda', 'Carmina Barrios', 'José Ángel Egido']",['Marc Vigil']
6 Balloons,2018,,['Drama'],5.9,3865,A woman (Jacobson) learns her brother (Franco) has relapsed on heroin.,74,,,"['Abbi Jacobson', 'Dave Franco', 'Charlotte Carel', 'Madeline Carel']",['Marja-Lewis Ryan']
Rotten,2018,2019,['Documentary'],7.2,3330,"Rotten dives deep into the food production underworld to expose the corruption, waste and real dangers behind your everyday eating habits.",55,,Series,"['Latif Nasser', 'Casey Cox', 'Stanley Crawford', 'Leslie Lopatofsky']",
Tout simplement noir,2020,,['Comedy'],6.3,1444,A politically incorrect comedy about the role of black people in French society.,90,,,"['Jean-Pascal Zadi', 'Caroline Anglade', 'Fary', 'Tonton Marcel']","['John Wax', 'Jean-Pascal Zadi']"
Ugly Delicious,2018,Ongoing,['Documentary'],7.8,3268,Chef David Chang travels around the world tasting food from different cultures.,50,,Series,"['David Chang', 'Peter Meehan', 'Aziz Ansari', 'Rene Redzepi']",
Anatomy of a Love Seen,2014,,"['Drama', 'Romance']",4.7,2487,"Two young actresses fall in love with each other while filming a lesbian love scene, then break up months later, and then are forced to reunite in order to re-shoot the love scene for the movie's distribution.",80,,,"['Sharon Hinnendael', 'Jill Evyn', 'Constance Brenneman', 'Marina Rice Bader']",['Marina Rice Bader']
Lou,,,"['Crime', 'Drama', 'Mystery']",,,A tough elderly woman living on a remote island is recruited by a neighbor to help her find her kidnapped daughter.,,,I,"['Jurnee Smollett', 'Allison Janney', 'Logan Marshall-Green', 'Matt Craven']",['Anna Foerster']
Destry,1954,,['Western'],6.7,1318,"A dishonest mayor and powerful criminal dominate a small western town. But when the town's sheriff dies under mysterious circumstances, Tom Destry, son of a famed gunman, is called in to put an end to the corruption.",95,,,"['Audie Murphy', 'Mari Blanchard', 'Lyle Bettger', 'Thomas Mitchell']",['George Marshall']
Home Is Where the Killer Is,2019,,['Thriller'],4.4,486,"Nicole Turner has seen better times. Having just survived a health scare and painful breakup with her boyfriend Kyle, she is now facing eviction. When she finds a room for rent with former ...",87,,,"['Stacy Haiduk', 'Richard Speight Jr.', 'Kelly Kruger', 'Beth Littleford']",['Kaila York']
Dakteo Peurijeuneo,2019,Ongoing,"['Drama', 'Mystery', 'Thriller']",7.8,446,"Doctor Prisoner centers around an ace doctor in a university hospital's emergency care center, a skilled professional who treats his patients with full devotion and without discrimination. ...",35,,Series,"['Byeong-cheol Kim', 'Min Namkoong', 'Nara', 'Choi Wonyoung']",
Börü,2018,,"['Action', 'Thriller', 'War']",8.2,6607,"Turkey in the spring of 2014. A time when the enemies are growing on the border, the circle of danger inside is becoming narrower. The Republic of Turkey faces the greatest threats of ...",80,,,"['Ahu Türkpençe', 'Serkan Çayoglu', 'Emir Benderlioglu', 'Murat Arkin']",
Naeil Geudaewa,2017,,"['Fantasy', 'Romance']",7.5,766,"The drama tells the story of Yoo So-joon, who can travel through time by a subway. After seeing his future-self living miserably, Joon decides to marry Ma Rin in order to avoid that fate. As time passes, he learns to love her selflessly.",60,,,"['Lee Jehoon', 'Shin Min-a', 'Kang Ki-Doong', 'Seung-gil Jeong']",
The Present,2020,,"['Short', 'Drama']",7.6,2573,"On his wedding anniversary, Yusef and his young daughter set out in the West Bank to buy his wife a gift. Between soldiers, segregated roads and checkpoints, how easy would it be to go shopping?",24,,Short,"['Saleh Bakri', 'Maryam Kanj', 'Mariam Basha']",['Farah Nabulsi']
"The Mind, Explained",2019,,['Documentary'],8.0,4453,"Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.",20,,,"['Emma Stone', 'Ali Mattu', 'Melanie Mignucci', 'Octavian C. Mihai']",
Challenger: The Final Flight,2020,,"['Documentary', 'History']",7.9,5904,"Four-part docuseries on the 1986 Challenger space shuttle disaster, unpacking an indelible moment for a generation of Americans.",179,,,"['June Scobee Rodgers', 'William Harwood', 'Frederick D. Gregory', 'John Zarrella']",
Check Point,2017,,"['Action', 'Thriller', 'War']",3.2,1000,"Port City North Carolina: During a routine camp out, a local vagrant, a former marine discovers plans for an invasion in America. When he tries to notify the local Sheriff about his ...",97,,,"['Kenny Johnson', 'Tyler Mane', 'William Forsythe', 'Michelle Lee']",['Thomas J. Churchill']
La sombra de la ley,2018,,"['Action', 'Adventure', 'Crime']",6.3,3539,In 1921 a tough cop is sent from Madrid to Barcelona to locate stolen military weaponry.,126,,,"['Luis Tosar', 'Michelle Jenner', 'Vicente Romero', 'Manolo Solo']",['Dani de la Torre']
Dragon Quest: Your Story,2019,,"['Animation', 'Adventure', 'Family']",6.6,2541,Based on the fifth Dragon Quest game.,103,,,"['Kasumi Arimura', 'Steve Blum', 'Shaun Conde', 'Jacob Craner']",['Takashi Yamazaki']
Musarañas,2014,,"['Drama', 'Horror', 'Thriller']",6.7,6598,1950s Madrid: The agoraphobic Montse raised her now 18 y.o. kid sister. The upstairs neighbor falls down the stairs and breaks a leg. The crazy Montse takes him in.,91,,,"['Macarena Gómez', 'Nadia de Santiago', 'Hugo Silva', 'Luis Tosar']","['Juanfer Andrés', 'Esteban Roel']"
Joseonroko Nokdujeon,2019,,"['Action', 'Comedy', 'History']",7.9,832,"Jeon Nok Du is a man with extraordinary ambition to experience the big, wide world. With looks, brains, and athletic abilities, he is the epitome of perfection. After being swept up in an ...",30,,,"['Dong-Yoon Jang', 'Kim So-Hyun', 'Tae-oh Kang', 'Jun-ho Jeong']",
Use for My Talent,2021,Ongoing,"['Comedy', 'Drama', 'Romance']",7.1,103,"Gu Ren Qi has a closed up personality and mysophobia. Shuang lost her mother in a car accident, and became a lonely person. The two became closer as they get to know each other, later they began to heal from their wounds.",45,,Series,"['Su Meng Di', 'Dai Yun Fan', 'Charles Lin', 'Jasper Liu']",
Trailer Park Boys: Out of the Park,2016,Ongoing,"['Adventure', 'Comedy', 'Crime']",6.7,2144,"Ricky, Julian, and Bubbles go to Europe for a paid vacation and realize when they get there they have to complete tasks in different countries to earn money to party.",30,,Series,"['John Paul Tremblay', 'Robb Wells', 'Mike Smith', 'Tom Mayhue']",
Beat Bugs,2016,2018,"['Animation', 'Short', 'Adventure']",7.6,491,"Beat Bugs is an animated series, revolving around the lives and adventures of five charming and funny child-like bugs who live in an overgrown American-style backyard.",24,,Series,"['Charles Demers', 'Rebecca Husain', 'Lili Beaudoin', 'Ashleigh Ball']",
Find Me in Your Memory,2020,Ongoing,"['Fantasy', 'Mystery', 'Romance']",7.4,492,A love story between a man who remembers every second of his life and a woman who forgot her painful past.,35,,Series,"['Dong-wook Kim', 'Moon Ga-young', 'Seul-gi Kim', 'Jong-Hoon Yoon']",
Naesungjukin Boseu,2017,,"['Comedy', 'Drama', 'Romance']",7.3,1290,"Eun Hwan-Ki is the CEO of a public relation company but he's extremely shy. Due to his personality, his employees don't know him well. Chae Ro-Woon begins work at Hwan-Ki's company. She's ...",70,,,"['Gong Seung-Yeon', 'Woo-jin Yeon', 'Bak Yoon', 'Jun Hyo-Seong']",
The Unlisted,2019,Ongoing,"['Family', 'Sci-Fi', 'Thriller']",6.7,698,Twelve-year-old identical twins Dru and Kal discover that the government is secretly tracking and manipulating Australia's youth via electronic tracking devices.,22,,Series,"['Vrund Rao', 'Ved Rao', 'Abigail Adriano', 'Miah Madden']",
The American Barbecue Showdown,2020,Ongoing,['Reality-TV'],7.2,957,Food competition that follows the country's best backyard smokers and competitive barbecuers as they compete for the title of American Barbecue Champion.,,,Series,"['Kevin Bludso', 'Melissa Cookston', 'Lyric Lewis', 'Rutledge Wood']",
Sword Art Online Alternative: Gun Gale Online,2018,Ongoing,"['Animation', 'Action', 'Adventure']",6.9,1847,"Karen Kohiruimaki always felt out of place in the real world. Due to her extreme height, she found it hard to make friends with other girls her age. Everything changes when she's introduced...",24,,Series,"['Tomori Kusunoki', 'Yôko Hikasa', 'Kazuyuki Okitsu', 'Morgan Berry']",
Dime Cuándo Tú,2020,,['Comedy'],5.8,743,"After his grandpa's passing, Mexican-American Will decides to go ahead with the plans he'd made to help him discover his roots in Mexico.",95,,,"['Héctor Bonilla', 'Ofelia Reyes Botello', 'Brett Calo', 'Manolo Caro']",['Gerardo Gatica González']
Radio Rebel,2012,,"['Comedy', 'Drama', 'Family']",5.9,9016,"Tara, a painfully shy high-schooler, has a secret: she is also a confident DJ known as Radio Rebel, who lends her voice to others.",85,,TV Movie,"['Debby Ryan', 'Sarena Parmar', 'Adam DiMarco', 'Atticus Mitchell']",['Peter Howitt']
7 Prisioneiros,2021,,['Drama'],,,"To provide a better life for his family, 18-year-old Mateus accepts a job in a junkyard São Paulo, where he and a few other boys become trapped in the dangerous world of human trafficking.",90,,,"['Rodrigo Santoro', 'Christian Malheiros', 'Lucas Oranmian']",['Alexandre Moratto']
Eating Out: The Open Weekend,2011,,['Comedy'],5.5,2277,"Zack is gaycationing in Palm Springs with new BF Benji who, to Zack's dismay, wants to try an open relationship. Adding confusion is Casey, Zack's ex, with Peter, his fake BF, plus Casey's fruity friend, Penny, and Zack's friend Lilly.",82,,,"['Aaron Milo', 'Chris Puckett', 'Chris Salvatore', 'Harmony Santana']",['Q. Allan Brocka']
Loaded,2017,Ongoing,"['Comedy', 'Drama']",6.6,1294,"Four friends who become multi-millionaires when they sell their video game company for a clean £246 million and overnight, the four friends are transformed from ""people who play games"" to ""serious players in the game..."" - or are they?",41,,Series,"['Jim Howick', 'Samuel Anderson', 'Nick Helm', 'Jonny Sweet']",
Christmas on the Square,2020,,"['Comedy', 'Family', 'Musical']",5.2,2239,"An embittered ""Scrooge"" of a woman plans to sell her small town, regardless of the consequences to the people who live there.",98,,,"['Dolly Parton', 'Jenifer Lewis', 'Josh Segarra', 'Jeanine Mason']",['Debbie Allen']
On the Verge,2021,Ongoing,['Comedy'],,,A look a life for a group of women in their forties.,,,Series,"['Julie Delpy', 'Sarah Jones', 'Alexia Landeau', 'Elisabeth Shue']",
"Frankenstein's Monster's Monster, Frankenstein",2019,,['Comedy'],5.9,2017,"David Harbour delves into the enigmatic history of his legendary acting family, as he examines his father's legacy and role in a made-for-TV play.",32,,TV Movie,"['David Harbour', 'Kate Berlant', 'Alex Ozerov', 'Mary Woronov']",['Daniel Gray Longino']
Vivir dos veces,2019,,"['Comedy', 'Drama']",7.2,5770,A retired academic teacher tries to find the love of his youth after being diagnosed with Alzheimer's.,101,,,"['Oscar Martínez', 'Inma Cuesta', 'Mafalda Carbonell', 'Nacho López']",['Maria Ripoll']
The Final Table,2018,Ongoing,['Reality-TV'],7.7,3574,Teams of chefs vie to impress some of the world's toughest palates as they whip up iconic dishes from different nations in this reality cooking competition.,60,,Series,"['Andrew Knowlton', 'Monique Fiso', 'Mark Best', 'Shane Osborn']",
Yo soy la felicidad de este mundo,2014,,['Drama'],4.5,983,"Emiliano looks at his life with the eyes of a film director, mixing the objective reality with the processes of the artistic creation. The story he is filming flounders with his daily life,...",122,,,"['Hugo Catalán', 'Gabino Rodríguez', 'Andrea Portal', 'Emilio von Sternerfels']",['Julián Hernández']
El autor,2017,,"['Comedy', 'Crime', 'Drama']",6.5,5276,"A man obsessed with the idea of writing ""high literature"" starts to cause conflicts around him to write about it.",112,,,"['Javier Gutiérrez', 'María León', 'Adelfa Calvo', 'Adriana Paz']",['Manuel Martín Cuenca']
Tribhanga,2021,,"['Drama', 'Family']",6.1,2588,The lives of three women spanning the late 1980s to present day and underscores the value of family in everyday life.,95,,,"['Kajol', 'Tanvi Azmi', 'Mithila Palkar', 'Kunaal Roy Kapur']",['Renuka Shahane']
Wheels of Fortune,2020,,['Comedy'],5.4,618,"In order to claim his inheritance, a born loser travels the country with his childhood friends to prove he can be a winner. Ish.",106,,,"['Matt Jones', 'Jeff Fahey', 'Noureen DeWulf', 'John Ducey']",['Shaun Paul Piccinino']
Aneun Waipeu,2018,,"['Fantasy', 'Romance']",7.6,660,A married couple suddenly finds themselves living entirely different lives after their fates magically change through an unexpected incident.,60,,,"['Seong Ji', 'Han Ji-min', 'Seung-jo Jang', 'Kang Han-na']",
Blame!,2017,,"['Animation', 'Action', 'Drama']",6.7,7432,"In the distant future, humans are declared ""illegal residents"" and hunted to near extinction by murderous robots. One day, a group of human scavengers come across a strange man named Killy, who may be the key to humanity's survival.",106,,,"['Takahiro Sakurai', 'Kana Hanazawa', 'Sora Amamiya', 'Mamoru Miyano']",['Hiroyuki Seshita']
The Boss Baby: Get That Baby!,2020,,"['Animation', 'Short', 'Adventure']",4.9,222,An interactive simulation is created where Boss Baby has to fight several villains hungry for revenge. The choices made in the simulation will determine the viewer's career path within Baby Corp.,24,,Short,"['Flula Borg', 'Alex Cazares', 'Rhys Darby', 'Pierce Gagnon']","['Dan Forgione', 'Pete Jacobs', 'Matt Whitlock']"
Dawn of the Croods,2015,2017,"['Animation', 'Short', 'Adventure']",6.0,595,"Eep, Grug, Thunk, Ugga, Sandy and Gran are back. Follow them as they meet new friends, outrun new creatures and encounter ""firsts"" the world has never seen - such as school, slumber parties, hiccups and elections.",23,,Series,"['Dan Milano', 'A.J. LoCascio', 'Laraine Newman', 'Cree Summer']",
Won't Back Down,2012,,['Drama'],6.5,6317,"Two determined mothers­, one a teacher, look to transform their children's failing inner city school. Facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their children.",121,5.31,,"['Viola Davis', 'Maggie Gyllenhaal', 'Holly Hunter', 'Oscar Isaac']",['Daniel Barnz']
Pelé,2021,,"['Documentary', 'Biography', 'Sport']",7.0,3513,"Looks back at the extraordinary 12-year period in which Pelé, the only man to win three World Cup titles, went from young superstar in 1958 to national hero in 1970; a radical yet turbulent era in Brazil’s history.",108,,,"['Amarildo', 'Fernando Henrique Cardoso', 'Benedita da Silva', 'Mengálvio Pedro Figueiró']","['Ben Nicholas', 'David Tryhorn']"
Kidô Senshi Gundam Unicorn,2010,2014,"['Animation', 'Action', 'Drama']",7.8,1145,"A conspiracy around Laplace's Box is potentially going to start another war between the Earth Federation and Neo Zeon. Chosen by fate, Banagher Links gets the key to the box, and must follow his heart to decide what to do with it.",,,Series,"['Troy Baker', 'J. David Brimmer', 'Wayne Grayson', 'Dan Green']",
Death Clique,2014,,"['Crime', 'Drama', 'Mystery']",5.6,1271,A jealous rivalry between three high school girls leads to a shocking crime.,83,,TV Movie,"['Barbara Alyn Woods', 'Tina Ivlev', 'Lexi Ainsworth', 'Brittany Underwood']",['Doug Campbell']
Lost Ollie,,,"['Animation', 'Adventure', 'Drama']",,,"A lost toy, searching across the countryside for the boy who lost him, and the story of the boy who lost more than a best friend.",45,,,"['Mary J. Blige', 'Jonathan Groff', 'Jake Johnson', 'Tim Blake Nelson']",
A Wish For Christmas,2016,,"['Drama', 'Family', 'Fantasy']",6.0,4260,"Sara Thomas is the type of woman who prefers to sit on the sidelines at work, but when her big idea for a Christmas initiative is stolen, she makes a wish to Santa that she'll finally have ...",84,,TV Movie,"['Lacey Chabert', 'Paul Greene', 'Andrea Brooks', 'Colleen Wheeler']",['Christie Will Wolf']
MeatEater,2012,Ongoing,['Documentary'],7.7,1247,A man travels around the vast wilderness hunting various animals. He hunts everything from birds to bears. Once the animal is bagged he demonstrates how to process the game and cook it.,21,,Series,"['Steven Rinella', 'Joe Rogan', 'Bryan Callen', 'Remi Warren']",
Divines,2016,,"['Crime', 'Drama']",7.4,9245,A street teenager from a dysfunctional family from a banlieue (HLMs) in Paris comes across a young dancer who turns her life upside down.,105,,,"['Oulaya Amamra', 'Déborah Lukumuena', 'Kévin Mischel', 'Jisca Kalvanda']",['Houda Benyamina']
Love and Redemption,2020,Ongoing,"['Action', 'Drama', 'Fantasy']",8.6,356,"Because of an intricate plot, Zhu Xuan Ji of Xiu Luo Tribe reincarnates into a human and became the daughter of the sect leader of Shao Yang Sect. In this lifetime, Xuan Ji loses all her ...",,,Series,"['Wang Bin', 'Yu Bin', 'Zhou Yi Dan', 'Ma Jing Han']",
Torbaaz,2020,,"['Action', 'Drama', 'Sport']",6.7,5886,"A man rises from personal tragedy to lead a group of children from a refugee camp to victory, transforming their lives through the game of cricket.",133,,,"['Sanjay Dutt', 'Nargis Fakhri', 'Rahul Dev', 'Kuwaarjeet Chopraa']",['Girish Malik']
Spellbinder,1995,Ongoing,"['Adventure', 'Family', 'Fantasy']",8.2,1981,"When a prank at a school camp goes drastically wrong, 15-year-old Paul Reynolds is blasted into an alternative reality and has to try to find a way home.",24,,Series,"['Zbych Trofimiuk', 'Gosia Piotrowska', 'Brian Rooney', 'Michela Noonan']",
Blown Away,2019,Ongoing,['Reality-TV'],7.1,2438,A reality show featuring glass blowers from around the world competing to be the best. One artist is dismissed after each episode/challenge.,23,,Series,"['Nick Uhas', 'Deborah Czeresko', 'Alexander Rosenberg', 'Janusz Pozniak']",
Borderline,2016,2017,['Comedy'],7.2,1432,"Retro-scripted, spoof documentary series following the work of UK Border Force staff at the fictional Northend Airport. Narrated by Ralf Little.",30,,Series,"['David Avery', 'Jackie Clune', 'David Elms', 'Liz Kingsman']",
Suzumiya Haruhi no shôshitsu,2010,,"['Animation', 'Drama', 'Family']",8.1,6660,"On Dec.16, 5 friends in SOS Brigade (high school club) plan an Xmas party. On Dec.18, Haruhi +1 are missing and Kyon's 2 other friends don't know about the club.",162,,,"['Aya Hirano', 'Tomokazu Sugita', 'Minori Chihara', 'Yûko Gotô']","['Tatsuya Ishihara', 'Yasuhiro Takemoto']"
The Girls I've Been,,,['Thriller'],,,A con artist named Nora uses her powers of persuasion and impersonation to get herself and her friends out of dangerous situations.,,,,['Millie Bobby Brown'],
Transformers: Cyberverse,2018,2020,"['Animation', 'Action', 'Sci-Fi']",6.8,295,"The series focuses on the adventures of Bumblebee; having damaged his memory chips, he and Windblade must recover his missing memories in order to help him remember his mission on Earth. ...",11,,Series,"['Jeremy Levy', 'Jake Foushee', 'Sophia Isabella', 'Ryan Andes']",
The Minimalists: Less Is Now,2021,,['Documentary'],5.9,3415,The Minimalists have reworked this phrase to create a sense of urgency for today’s consumer culture: now is the time for less.,53,,,"['Joshua Fields Millburn', 'Ryan Nicodemus', 'Dave Ramsey', 'Denaye Barahona']","[""Matt D'Avella""]"
Mob Psycho 100,2018,,"['Sci-Fi', 'Thriller']",5.1,462,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",24,0.12,,"['Ayumu Mochizuki', 'Tatsuomi Hamada', 'Atsushi Arai', 'Masayuki Deai']",
Ninguém Tá Olhando,2019,,"['Comedy', 'Drama', 'Fantasy']",7.8,1590,"Guardian angel Uli is new to the Angelus System. A rebel spirit, he makes shocking discoveries about life and how the world is run when he goes rogue.",,,,"['Victor Lamoglia', 'Júlia Rabello', 'Kéfera Buchmann', 'Augusto Madeira']",
Paradise Beach,2019,,"['Action', 'Crime', 'Drama']",4.5,1948,"A team of former robbers arrived at Paradise: Phuket, southern Thailand. Until the day when the devil arrives: Mehdi, sentenced to 15 years in prison during the robbery, comes to recover his share of the cake.",93,,,"['Sami Bouajila', 'Tewfik Jallab', 'Mélanie Doutey', 'Hugo Becker']",['Xavier Durringer']
Den enfaldige mördaren,1982,,['Drama'],7.6,3065,A mentally challenged man escapes from his tyrannical master and finds happiness when a poor family takes him in.,108,,,"['Stellan Skarsgård', 'Maria Johansson', 'Hans Alfredson', 'Per Myrberg']",['Hans Alfredson']
The Big Combo,1955,,"['Crime', 'Drama', 'Film-Noir']",7.4,7024,"A police lt. is ordered to stop investigating deadly crime boss Mr. Brown, because he hasn't been able to get any hard evidence against him. He then goes after Brown's girlfriend who despises him, for information instead.",87,,,"['Cornel Wilde', 'Richard Conte', 'Jean Wallace', 'Brian Donlevy']",['Joseph H. Lewis']
Sneakerheads,2020,Ongoing,['Comedy'],6.2,1169,"Devin, a former sneakerhead turned stay-at-home dad, finds himself deep in the hole after falling for one of old friend Bobby's crazy schemes. To get his money back, the at-odds duo goes on the hunt for the most elusive kicks in the game.",,,Series,"['Allen Maldonado', 'Andrew Bachelor', 'Jearnest Corchado', 'Matthew Josten']",
Man vs. Bee,,,['Comedy'],,,"A man finds himself at war with a bee while housesitting a luxurious mansion. Who will win, and what irreparable damage will be done in the process?",,,,['Rowan Atkinson'],
Zindagi inShort,2020,,"['Comedy', 'Drama', 'Romance']",7.2,568,"An anthology of 7 heart-warming stories, Zindagi inShort glimpses into various moments of ordinary lives. The circumstances that we live in, we ignore our loved ones, we madly focus on our careers, we stop thinking about them.",116,,,"['Deepak Dobriyal', 'Divya Dutta', 'Neena Gupta', 'Vedika Nanwani']",
The Veil,2016,,['Horror'],4.8,7495,"Twenty-five years after members of a religious cult committed mass suicide, the lone survivor returns to the scene of the tragedy with a documentary crew in tow.",93,,I,"['Jessica Alba', 'Thomas Jane', 'Lily Rabe', 'Aleksa Palladino']",['Phil Joanou']
Long Shot,2017,,"['Documentary', 'Crime', 'Sport']",7.4,7026,"When Juan Catalan is arrested for a murder he insists he didn't commit, he builds his case for innocence around raw footage from a popular TV show, ""Curb Your Enthusiasm.""",40,,TV Movie,"['Tasha Boggs', 'Juan Catalan', 'Melissa Catalan', 'Miguel Catalan']",['Jacob LaMendola']
Prooi,2016,,"['Comedy', 'Horror', 'Thriller']",5.2,2118,A zoo veterinarian gets caught up in a grisly adventure as she finds herself leading the city-wide hunt for a monstrous lion terrorizing the Dutch capital of Amsterdam.,108,,,"['Julian Looman', 'Mark Frost', 'Abbey Hoes', 'Mike Libanon']",['Dick Maas']
Christmas Made to Order,2018,,['Romance'],5.7,3759,"A Hallmark Channel original movie. When architect and Christmas amateur Steven (Jonathan Bennett) finds himself hosting his family for Christmas, he recruits holiday coordinator Gretchen (Alexa PenaVega) to bring holiday joy to his home.",80,,TV Movie,"['Alexa PenaVega', 'Jonathan Bennett', 'Jo Marie Payton', 'Jacob Young']",['Sam Irvin']
Into the Inferno,2016,,['Documentary'],7.2,7942,An exploration of active volcanoes around the world.,104,,,"['Werner Herzog', 'Clive Oppenheimer', 'Maurice Krafft', 'Kampiro Kayrento']",['Werner Herzog']
A Christmas Prince: The Royal Baby,2019,,"['Family', 'Romance']",5.4,5594,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their family.",84,,,"['Rose McIver', 'Ben Lamb', 'Alice Krige', 'Honor Kneafsey']",['John Schultz']
The World's Most Extraordinary Homes,2017,2018,['Documentary'],7.6,3123,A celebration of extraordinary residential architecture from around the world with insight from an accomplished architect and his enthusiastic co-host.,59,,Series,"['Caroline Quentin', 'Piers Taylor', 'Eduardo Arroyo', 'David Hertz']",
The Goop Lab,2020,Ongoing,"['Documentary', 'Reality-TV']",2.5,3004,"Leading with curiosity, Gwyneth Paltrow and her goop team look at psychedelics, energy work and other challenging wellness topics.",30,,Series,"['Gwyneth Paltrow', 'Elise Loehnen', 'Ana Hito', 'Kate Woflson']",
Hinamatsuri,2018,,"['Animation', 'Comedy', 'Fantasy']",8.0,1551,A vortex drops a being from another world into a yakuza's life - a life that's about to be greatly changed.,24,,,"['Yoshiki Nakajima', 'Jarrod Greene', 'Brina Palencia', 'Takako Tanaka']",
Big Bear,2017,,['Comedy'],5.1,1280,BIG BEAR is about Joe (Joey Kern) who reluctantly has his bachelor party even though his fiancée just dumped him for some dude (Pablo Schreiber).,88,,,"['Pablo Schreiber', 'Adam Brody', 'Tyler Labine', 'Zachary Knighton']",['Joey Kern']
Private Life,2020,,"['Crime', 'Drama', 'Romance']",6.6,498,"In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation.",70,,,"['Seohyun', 'Hyo-jin Kim', 'Tae Won-suk', 'Go Kyung-Pyo']",
Toy Story That Time Forgot,2014,,"['Animation', 'Short', 'Adventure']",7.2,10644,It's a post-Christmas play-date and the toys have to go up against the fearsome and aggressive new dino toys.,22,,Short,"['Tom Hanks', 'Tim Allen', 'Kristen Schaal', 'Kevin McKidd']",['Steve Purcell']
Kakegurui,2018,2019,"['Drama', 'Mystery', 'Thriller']",6.4,814,A gambling prodigy comes to an elite school run by games and turns the order upside down.,24,,Series,"['Minami Hamabe', 'Aoi Morikawa', 'Mahiro Takasugi', 'Ruka Matsuda']",
Thomas & Friends: All Engines Go!,2021,Ongoing,"['Animation', 'Adventure', 'Comedy']",,,,30,,Series,"['Johnathan Michael', 'Shomoy James Mitchell']",
From the Dark,2014,,"['Horror', 'Thriller']",4.9,3108,A couple on a trip through the Irish countryside find themselves hunted by a creature who only attacks at night.,90,,,"['Niamh Algar', 'Stephen Cromwell', 'Ged Murray', ""Gerry O'Brien""]",['Conor McMahon']
Interceptor,2022,,"['Action', 'Drama', 'Thriller']",,,"When 16 nuclear missiles are launched at the US, and a violent attack simultaneously threatens her remote missile interceptor station, one Army lieutenant must utilize her tactical training and military expertise to save humanity.",,,,"['Elsa Pataky', 'Luke Bracey', 'Aaron Glenane', 'Belinda Jombwe']",['Matthew Reilly']
Zig & Sharko,2010,Ongoing,"['Animation', 'Action', 'Comedy']",6.9,469,"Zig, a famished hyena comes up with the craziest plans to make a meal out of Marina, the carefree mermaid. But that's forgetting all about Sharko, the muscly shark who will do anything to protect her.",7,,Series,,
