title,start_year,end_year,language,run_time,rating,summary,status
Chilling Adventures of Sabrina,2018,2020,English,57.0,7.5,"Chilling Adventures of Sabrina reimagines the origin &amp; adventures of Sabrina the Teenage Witch as a dark coming-of-age story that traffics in horror, the occult and, of course, witchcraft. This adaptation finds Sabrina wrestling to reconcile her dual nature —half-witch, half-mortal — while standing against the evil forces that threaten her, her family and the daylight world humans inhabit.",Ended
Marcella,2016,,English,56.0,7.5,"Set in contemporary London with a British Metropolitan Police Officer at its heart, Marcella is Scandinavian noir on the streets of Britain. Told with Rosenfeldt's unflinchingly clear Nordic style, full of hooks and action, The series will lead the audience through a narrative maze until the final moments of the drama. Marcella will also delve into the psychology of a single female detective working solo on a serial murder case with many potential suspects and victims.Returning to the Met's Murder Squad after a 12-year career break, Marcella Backland is a detective in her late 30's who gave up her fast-tracked role to marry and devote her life to starting a family. With the abrupt end to her marriage to the love of her life Jason and isolated from her daughter at boarding school, Marcella returns to work whilst attempting to make sense of what's happened in her life.",To Be Determined
Freaks and Geeks,1999,2000,English,60.0,7.9,"Freaks and Geeks, the Emmy® award-winning series about the trials and tribulations of high school outsiders in 1980 Michigan.",Ended
iZombie,2015,2019,English,60.0,7.8,"Olivia ""Liv"" Moore is a rosy-cheeked, disciplined, over-achieving medical resident who had her life path completely mapped out... until the night she attended a party that unexpectedly turned into a zombie feeding frenzy. As one of the newly undead, Liv has devised a way to resist her baser urges to devour fresh human brains--she's taken a job in the Seattle coroner's office.In this appropriately dead-end job, she can secretly snack on the brains of the many Jane and John Doe corpses that make a final stop in the morgue. Liv remains resigned to an eternity without hope or purpose, until she realizes that with every brain she consumes, she retains a portion of that person's memories, and she begins to experience visions from the point of view of the murder victims. It's not the same as being alive again, but at least she can find purpose in her undead existence by helping to solve the murders of those who are indeed fully dead.",Ended
Poldark,2015,2019,English,60.0,8.2,"Britain is in the grip of a chilling recession... falling wages, rising prices, civil unrest - only the bankers are smiling. It's 1783 and Ross Poldark returns from the American War of Independence to his beloved Cornwall to find his world in ruins: his father dead, the family mine long since closed, his house wrecked and his sweetheart pledged to marry his cousin. But Ross finds that hope and love can be found when you are least expecting it in the wild but beautiful Cornish landscape.",Ended
Penny Dreadful,2014,2016,English,60.0,8.2,"Some of literature's most terrifying characters, including Dr. Frankenstein and his monster, Dorian Gray, and iconic figures from the novel Dracula are lurking in the darkest corners of Victorian London. They are joined by a core of original characters in a complex, frightening new narrative. Penny Dreadful is a psychological thriller filled with dark mystery and suspense, where personal demons from the past can be stronger than vampires, evil spirits and immortal beasts.",Ended
Fate: The Winx Saga,2021,2022,English,52.0,7.4,"Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school.",Ended
Feel Good,2020,2021,English,26.0,5.9,"Feel Good follows Mae, a rising talent on the stand-up circuit and recovering addict whose addictive behaviors and intense romanticism dominate every single part of her life. When she meets pragmatic—but so far heterosexual—George she's smitten, and much to her surprise George feels the same. They embark on an intoxicating romance as Mae juggles relationships with her parents, fellow addicts in a drugs support group, her colleagues at the local stand up club, and most importantly tries to transform her relationship with George from an addictive one to a healthy one. But the real question is can Mae replace a toxic addiction to love with love itself.",Ended
The Legend of Korra,2012,2014,English,30.0,8.0,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,Ended
She-Ra and the Princesses of Power,2018,2020,English,26.0,7.6,"She-Ra and the Princesses of Power is the story of an orphan named Adora, who leaves behind her former life in the evil Horde when she discovers a magic sword that transforms her into the mythical warrior princess She-Ra. Along the way, she finds a new family in the Rebellion as she unites a group of magical princesses in the ultimate fight against evil.",Ended
Scorpion,2014,2018,English,60.0,7.3,"Scorpion, inspired by a true story, is a high-octane drama about eccentric genius Walter O'Brien and his team of brilliant misfits who comprise the last line of defense against complex, high-tech threats of the modern age. As Homeland Security's new think tank, O'Brien's ""Scorpion"" team includes Toby Curtis an expert behaviorist who can read anyone; Happy Quinn, a mechanical prodigy; and Sylvester Dodd, a statistics guru. Pooling their extensive technological knowledge to solve mind-boggling predicaments amazes federal agent Cabe Gallo, who shares a harrowing history with O'Brien. However, while this socially awkward group is comfortable with each other's humor and quirks, life outside their circle confounds them, so they rely on Paige Dineen, who has a young, gifted son, to translate the world for them. At last, these nerdy masterminds have found the perfect job: a place where they can apply their exceptional brainpower to solve the nation's crises, while also helping each other learn how to fit in.",Ended
Derry Girls,2018,2022,English,33.0,7.7,"16-year-old Erin Quinn lives with her uncompromising mother, her long-suffering father and the fearsome ‘Granda Joe', a man whose love for his daughters and granddaughters is surpassed only by his contempt for his son-in-law.It's the early 90s, and Erin is used to seeing her country on the nightly news and speaking in acronyms (The IRA, The UDA, The RUC). This is a time of armed police in armoured Land Rovers and British Army check points. But it's also the time of Murder She Wrote, The Cranberries, MJ and Lisa Marie, Doc Martens, bomber jackets, The X Files, Nirvana and Wayne's World. And while The Troubles may hang over her home town, Erin has troubles of her own",Ended
Ratched,2020,2020,English,54.0,7.3,"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness.",Ended
Haikyuu!!,2014,2024,Japanese,25.0,7.5,"Inspired after watching a volleyball ace nicknamed ""Little Giant"" in action, small-statured Shouyou Hinata revives the volleyball club at his middle school. After finding new members, they set out for the middle school tournament, where they cross paths with a formidable school with the ""King of the Upper Court"", Tobio Kageyama. Hinata vows to surpass Kageyama, and so after graduating from middle school, he joins Karasuno High School's volleyball team—only to find that his sworn rival, Kageyama, is now his teammate.",Ended
Diriliş Ertuğrul,2014,2019,Turkish,130.0,7.8,"Heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman State.",Ended
Love,2016,2018,English,31.0,7.1,Rebellious Mickey and good-natured Gus navigate the thrills and agonies of modern relationships.,Ended
Centaurworld,2021,2021,English,30.0,7.5,"Centaurworld follows a war horse who is transported from her embattled world to a strange land inhabited by silly, singing centaurs of all species, shapes, and sizes. Desperate to return home, she befriends a group of these magical creatures and embarks on a journey that will test her more than any battle she's ever faced before.",Ended
Shadowhunters: The Mortal Instruments,2016,2019,English,60.0,6.7,"Based on the bestselling young adult fantasy book series The Mortal Instruments by Cassandra Clare, Shadowhunters follows 18-year-old Clary Fray, who finds out on her birthday that she is not who she thinks she is but rather comes from a long line of Shadowhunters - human-angel hybrids who hunt down demons. When her mother, Jocelyn, is kidnapped, Clary is thrown into the world of demon hunting with mysterious Shadowhunter Jace and her best friend, Simon. Now living among faeries, warlocks, vampires and werewolves, Clary begins a journey of self-discovery as she learns more about her past and what her future may hold.",Ended
The Ranch,2016,2020,English,31.0,6.3,"The Ranch is a comedy revolving around a former pro football player who returns to Colorado to help run the family ranch business. The show takes place on the fictional Iron River Ranch in Garrison, Colorado, detailing the life of the Bennetts, a dysfunctional family consisting of two brothers, their rancher father, and his separated wife and local bar owner.",Ended
Shooter,2016,2018,English,60.0,7.7,"Based on the best-selling Bob Lee Swagger novel by Stephen Hunter, Point of Impact, and the 2007 Paramount film starring Mark Wahlberg, Shooter is an action series about a highly decorated Marine sniper who is on the run after being falsely accused of trying to kill the President.",Ended
Zoo,2015,2017,English,60.0,7.3,"Zoo is a global thriller about a wave of violent animal attacks against humans sweeping the planet. Jackson Oz is a young, renegade American zoologist who spends his days running safaris in the wilds of Africa when he begins noticing the strange behavior of the animals. As the assaults become more cunning, coordinated and ferocious, he is thrust into the race to unlock the mystery of the pandemic before there's no place left for people to hide.<br /><br />Based on James Patterson's #1 bestselling novel.",Ended
Nashville,2012,2018,English,60.0,7.4,"Nashville is set against the backdrop of the city's music scene and follows Rayna Jaymes and Juliette Barnes. Both women face personal and professional challenges as they navigate their paths as artists and individuals. Surrounding them, and often complicating their lives, are their family, friends and, in some cases, lovers, as well as the up-and-coming performers and songwriters trying to get ahead in the business. Music City can mean so many things to different people. In Nashville, musicians and songwriters are at the heart of the storm driven by their own ambitions. Some are fueled by their creativity and passion for fame. Others struggle to cope with the pressures of success and are doing everything in their power to stay on top.",Ended
Scream Queens,2015,2016,English,60.0,7.0,"The girls of Kappa House are dying for new pledges. Scream Queens is a new killer comedy-horror series from Ryan Murphy, Brad Falchuk and Ian Brennan, the Emmy- and Golden Globe Award-winning executive producers of Glee and American Horror Story. Wallace University is rocked by a string of murders. Kappa House, the most sought-after sorority for pledges, is ruled with an iron fist (in a pink glove) by its Queen Bitch, Chanel Oberlin.But when anti-Kappa Dean Munsch decrees that sorority pledging must be open to all students, and not just the school's silver-spooned elite, all hell is about to break loose, as a devil-clad killer begins wreaking havoc, claiming one victim, one episode at a time. Part black comedy, part slasher flick, Scream Queens is a modern take on the classic whodunit, in which every character has a motive for murder... or could easily be the next blood-soaked casualty.",Ended
Castle Rock,2018,2019,English,49.0,7.1,"A psychological-horror series set in the Stephen King multiverse, Castle Rock combines the mythological scale and intimate character storytelling of King's best-loved works, weaving an epic saga of darkness and light, played out on a few square miles of Maine woodland. The fictional Maine town of Castle Rock has figured prominently in King's literary career: Cujo, The Dark Half, IT and Needful Things, as well as novella The Body and numerous short stories such as Rita Hayworth and The Shawshank Redemption are either set there or contain references to Castle Rock. Castle Rock is an original suspense/thriller — a first-of-its-kind reimagining that explores the themes and worlds uniting the entire King canon, while brushing up against some of his most iconic and beloved stories.",Ended
Misfits,2009,2013,English,60.0,7.8,"When five young outsiders on Community Service get caught in a strange storm, they discover that they have developed superpowers.",Ended
Medici,2016,2019,English,60.0,7.7,"After his father's murder, banking heir Cosimo Medici battles opponents of his artistic, economic and political visions for 15th-century Florence.",Ended
Doc Martin,2004,2022,English,60.0,8.1,Successful surgeon Dr Martin Ellingham relocates to the seaside village of Portwenn in Cornwall; but his gruff demeanour and poor bedside manner bring him into conflict with the locals as he begins his new life as a GP.,Ended
Trailer Park Boys,2001,2018,English,25.0,7.6,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,Ended
Vincenzo,2021,2021,Korean,90.0,8.0,"During a visit to his motherland, a Korean-Italian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.",Ended
Full House,1987,1995,English,30.0,6.2,"Full House follows Danny Tanner, widowed father of three young and rambunctious girls recruits his two buddies--his rock 'n' roller brother-in-law, Jesse, and his best friend, Joey, an infrequently employed stand-up comic--to move in and help him raise the brood.",Ended
The OA,2016,2019,English,55.0,7.7,"The OA delves into the inexplicable reappearance of Prairie Johnson. Having gone missing seven years ago, the previously blind Johnson returns home, now in her 20s and her sight restored. While many believe she is a miracle, others worry that she could be dangerous.",Ended
Will,2017,2017,English,61.0,6.1,"Will is the wild story of young William Shakespeare's arrival onto the punk rock theater scene that was 16th century London - the seductive, violent world where his raw talent faced rioting audiences, religious fanatics and raucous side-shows. It's the hot, contemporary, dangerous version of Shakespeare's life, played to a modern soundtrack, exposing all his recklessness, lustful temptations and brilliance.",Ended
Marvel's Luke Cage,2016,2018,English,58.0,7.2,"After a sabotaged experiment leaves him with super strength and unbreakable skin, Luke Cage becomes a fugitive trying to rebuild his life in modern day Harlem, New York City. But he is soon pulled out of the shadows and must fight a battle for the heart of his city – forcing him to confront a past he had tried to bury.",Ended
GLOW,2017,2019,English,34.0,7.3,"Inspired by the real story of the 1980's female wrestling league, the series -- set in Los Angeles and showcasing big hair and body slams -- is a fictionalized story of an out of work actress who finds one last attempt to live her dreams in the form of a weekly series about female wrestlers.",Ended
When Calls the Heart,2013,,English,60.0,7.9,"When Calls the Heart is inspired by Janette Oke's bestselling book series about the Canadian West, the series tells the captivating story of Elizabeth Thatcher, a young teacher accustomed to her high society life, who receives her first classroom assignment in Coal Valley, a small coal mining town where life is simple, but often fraught with challenges. Upon arrival, Elizabeth befriends Abigail Stanton, a wife and mother whose husband, the foreman of the mine, along with a dozen other miners, has just been killed in an explosion. The newly widowed women find their faith is tested when they must go to work in the mines to keep a roof over their heads. Set against the wild canvas of a 19th century coal town, Elizabeth will have to learn the ways of the frontier if she wishes to thrive in the rural west on her own.",Running
A Series of Unfortunate Events,2017,2019,English,56.0,7.4,"Based on the internationally best-selling series of books by Lemony Snicket and starring Emmy and Tony Award winner Neil Patrick Harris, A Series of Unfortunate Events recounts the tragic tale of the Baudelaire orphans -- Violet, Klaus, and Sunny - whose evil guardian Count Olaf will stop at nothing to get his hands on their inheritance. The siblings must outsmart Olaf at every turn, foiling his many devious plans and disguises, in order to discover clues to their parents' mysterious death.",Ended
RuPaul's Drag Race: All Stars,2012,,English,70.0,7.0,A twist on the mega-hit RuPaul's Drag Race as queens from previous seasons are pitted against each other in a wig-to-wig drag battle royale to determine which of these All Stars will claim the ultimate title and be declared Queen amongst queens,Running
Madam Secretary,2014,2019,English,60.0,7.7,"Madam Secretary follows Elizabeth McCord, the shrewd, determined, newly appointed Secretary of State who drives international diplomacy, battles office politics and circumvents protocol as she negotiates global and domestic issues, both at the White House and at home. A college professor and a brilliant former CIA analyst who left for ethical reasons, Elizabeth returns to public life at the request of the President following the suspicious death of her predecessor. The President values her apolitical leanings, her deep knowledge of the Middle East, her flair for languages and her ability to not just think outside the box, but to not even acknowledge there is a box.",Ended
The Alienist,2018,2020,English,60.0,7.4,"The Alienist, based on the Anthony Award-winning New York Times bestseller by Caleb Carr, is a fast-paced and atmospheric psychological thriller set in the fascinating and gritty world of Gilded Age New York City. After a series of haunting and gruesome murders, psychiatrist Dr. Laszlo Kreizler, newspaper reporter John Moore and police commissioner Theodore Roosevelt come together employing emerging disciplines of psychology and early crime investigation techniques to track down one of New York City's first serial killers.",Ended
Hell's Kitchen,2005,,English,60.0,6.9,"In Hell's Kitchen, aspiring chefs are put through an intense culinary academy to prove they possess the right combination of ingredients to win a life-changing grand prize.",Running
The Politician,2019,2020,English,44.0,6.1,Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.,Ended
Marco Polo,2014,2016,English,55.0,8.0,"In a world replete with greed, betrayal, sexual intrigue and rivalry, Marco Polo is based on the famed explorer's adventures in Kublai Khan's court in 13th century China.",Ended
Tattoo Redo,2021,,English,26.0,,"Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones.",To Be Determined
Shameless,2011,2021,English,60.0,8.5,"Shameless is a fiercely engaging and fearlessly twisted series. Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.",Ended
Top Gear,2002,2022,English,60.0,7.3,"Top Gear is a British television series about motor vehicles, primarily cars, and the most widely watched factual television programme in the world.",Ended
Sweet Magnolias,2020,,English,50.0,7.2,"Sweet Magnolias centers on three South Carolina women, best friends since high school, as they shepherd each other through the complexities of romance, career, and family.",Running
The Bureau of Magical Things,2018,2021,English,30.0,7.3,"The Bureau of Magical Things is a children's fantasy drama told through the eyes of a teenage girl called Kyra who uncovers a magical world.Once upon a time the human world and the world of magic - called the fae world - existed in harmony. But as technology advanced, the fae world was pushed back. Faeries and other magical creatures became endangered species. Now someone wants to change that and restore magic to its rightful place - no matter the cost. Kyra and Peter must solve the mystery of who that enigmatic figure is and how they will achieve their goal. The investigation leads them to uncover secrets in both the human and fae worlds that no one could have imagined.",Ended
Rojst,2018,2024,Polish,53.0,6.0,"The town is shocked with a brutal double murder. A small double murder shakes the town. ""Kurier"", the local newspaper, hands over this matter to an experienced journalist, Witold Wanycz. At the same time, he learns about the mysterious suicide of two teenagers. Together with Piotr, a young journalist, they begin their own investigation.",Ended
Russian Doll,2019,,English,28.0,7.4,Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop -- and staring down the barrel of her own mortality.,To Be Determined
Sa-rang-eui bul-sa-chak,,,,,,,
Final Space,2018,2021,English,30.0,7.7,"Final Space is a serialized intergalactic space saga about an astronaut named Gary and his adorable, planet-destroying friend, Mooncake. The series will follow their adventures as they embark on a quest to unlock the mystery of ""Final Space"", the place where the entire universe ends.",Ended
Into the Badlands,2015,2019,English,60.0,8.0,"Into the Badlands is a genre-bending martial arts series very loosely based on the classic Chinese tale ""Journey to the West"". In a land controlled by feudal barons, Into the Badlands tells the story of a great warrior and a young boy who embark on a journey across a dangerous land to find enlightenment.",Ended
Firefly Lane,2021,2023,English,52.0,6.7,"Kate and Tully meet as young girls and become inseparable best friends throughout thirty years of ups and downs, successes and failures, depression and disappointments. When an unthinkable betrayal breaks them apart, the two women go their separate ways and it's unclear whether they will ever be able to reconcile.",Ended
Manhunt,2017,2020,English,60.0,7.5,"Manhunt explores how the FBI caught infamous criminal masterminds, with each closed-ended season following a different case.The show, heavily serialized and darkly psychological in the vein of True Detective, provides insight into the criminal and the case but also the psychological effects the cases have on the FBI agents assigned to hunt down the most dangerous criminals who often delve into a kind of madness of their own, becoming totally absorbed in the crimes and forced to live inside the darkest minds imaginable for years.",Ended
Kingdom,2019,2021,Korean,48.0,7.9,"In a kingdom defeated by corruption and famine, a mysterious rumour of the king's death spreads as does a strange plague that renders the infected immune to death and hungry for flesh. The crown prince, fallen victim to a conspiracy, sets out on a journey to unveil the evil behind it all and save his people.",Ended
Master of None,2015,2021,English,32.0,7.7,"The show follows the personal and professional lives of Dev, a 30-year-old actor who has trouble deciding what he wants to eat, much less the pathway for the rest of his life. Dev's story takes him through subjects as diverse as the plight of the elderly, the immigrant experience, and how to find the most delicious pasta for dinner.",Ended
Top Boy,2019,2023,English,54.0,7.5,"Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler.",Ended
Bleach: Burîchi,,,,,,,
¿Quién mató a Sara?,2021,2022,Spanish,41.0,7.3,"His sister was killed in a freak ""accident"", for which he was blamed. While trying to find what actually happened, Alex Guzmán will uncover the darkest secrets of the Lazcano family, stopping at nothing until everyone is held accountable.",Ended
X-Ray: Selected Satyajit Shorts,,,,,,,
The Real Housewives of Beverly Hills,2010,,English,60.0,6.1,"The Real Housewives of Beverly Hills offers a glimpse inside the world of luxurious wealth and pampered privilege, where being seen and who you know is everything. These women are in the center of it all and they have the mansions, the cars, and the diamonds to prove it. From heiresses to entrepreneurs to a family of child actresses - they deliver the star power and the drama.",Running
Another Life,2019,2021,English,43.0,6.3,"Another Life centers on astronaut Niko Breckinridge who is focused on searching for alien intelligence. She leads a crew on a mission to explore the genesis of an alien artifact. As Niko and her young crew investigate, they face unimaginable danger on what might very well be a one-way mission.",Ended
Crazy Ex-Girlfriend,2015,2019,English,60.0,6.9,"Crazy Ex-Girlfriend revolves around Rebecca Bunch is a successful, driven, and possibly crazy young woman who impulsively gives up everything - her partnership at a prestigious law firm and her upscale apartment in Manhattan - in a desperate attempt to find love and happiness in that exotic hotbed of romance and adventure: suburban West Covina, Calif. (it's only two hours from the beach! Four in traffic).",Ended
The Promised Neverland,2019,2021,Japanese,25.0,7.5,"At Grace Field House, life couldn't be better for the orphans! Though they have no parents, together with the other kids and a kind ""Mama"" who cares for them, they form one big, happy family. No child is ever overlooked, especially since they are all adopted by the age of 12. Their daily lives involve rigorous tests, but afterwards, they are allowed to play outside.<br /><br />There is only one rule they must obey: do not leave the orphanage. But one day, two top-scoring orphans, Emma and Norman, venture past the gate and unearth the harrowing secret behind their entire existence. Utilizing their quick-wittedness, the children must work together to somehow change their predetermined fate.",Ended
High School DxD,2012,2018,Japanese,25.0,7.2,"The story follows Issei Hyodo, a dim-witted, lecherous second-year high school student who is killed by a girl on his first date ever. Issei is reincarnated as a devil, and from that day forward, he serves as an underling of Rias Gremory, a high-level devil who is also the prettiest girl on Issei's campus.",Ended
Fuller House,2016,2020,English,28.0,5.6,"In Fuller House, D.J. Tanner-Fuller is a widow and mother of three. Things become too much to handle, so she asks for help from her sister Stephanie and her best-friend Kimmy.",Ended
Below Deck,2013,,English,60.0,6.5,"The upstairs and downstairs worlds collide when this young and single crew of ""yachties"" live, love and work together on board a luxurious mega yacht while tending to the ever-changing needs of their wealthy, demanding charter guests on Below Deck.",Running
H2O: Just Add Water,2006,2010,English,30.0,7.6,"H2O: Just Add Water is a story about three normal teenage girls stumble upon a ancient cave they undergo a transformation that wll change their lives forever. H2O - Just Add Water, sees three very different girls facing everyday teen problems with an added twist - they're mermaids with incredible powers over water.",Ended
Colony,2016,2018,English,60.0,7.9,"Colony is a naturalistic drama about a family that's torn by opposing forces and makes difficult decisions as its members balance staying together with surviving the struggle of the human race. Set in the near future, the story takes place in Los Angeles, which exists in a state of occupation by a force of outside intruders. Some people choose to collaborate with the authorities and benefit from the new order, while others rebel and suffer the consequences. Josh Holloway stars in Colony as Will Bowman a former FBI agent who — in a bid to protect his family — is forced to collaborate with the occupational government to bring down the growing resistance movement inside the L.A. colony. Sarah Wayne Callies co-stars as Katie Bowman, Will's wife and a mother of three who struggles daily to keep her family safe and united in an occupied Los Angeles.",Ended
From Dusk Till Dawn: The Series,2014,2016,English,60.0,6.6,"From Dusk Till Dawn: The Series, based on the thrill-ride film of the same name, is a supernatural crime saga centered around bank robber, Seth Gecko and his violent, unpredictable brother, Richard ""Richie"" Gecko, who are wanted by the FBI and Texas Rangers Earl McGraw and Freddie Gonzalez after a bank heist leaves several people dead. While on the run to Mexico, Seth and Richie encounter former pastor Jacob Fuller and his family, whom they take hostage. Using the family RV to cross the border, chaos ensues when the group detours to a strip club that is populated by vampires. They are forced to fight until dawn in order to get out alive.",Ended
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,,,,,,,
Alice in Borderland,2020,,Japanese,56.0,7.8,"With his two friends, a video-game-obsessed young man finds himself in a strange version of Tokyo where they must compete in dangerous games to survive.Every episode lists different main cast in the opening sequence (beside the two main which are there throughout the entire series).",Running
Ash vs Evil Dead,2015,2018,English,30.0,8.0,"Ash is back in Ash vs Evil Dead! 30 years after his last fight, Ash Williams unleashes the Evil in an act of carelessness, bringing Deadite mayhem into his life again. Bruce Campbell will be reprising his role as Ash, the stock boy, aging lothario and chainsaw-handed monster hunter who has spent the last 30 years avoiding responsibility, maturity and the terrors of the Evil Dead. When a Deadite plague threatens to destroy all of mankind, Ash is finally forced to face his demons - personal and literal. Destiny, it turns out, has no plans to release the unlikely hero from its ""Evil"" grip.",Ended
Fruits Basket,2019,2021,Japanese,24.0,7.6,"Hundreds of years ago, the Chinese Zodiac spirits and their gods swore to stay together eternally. United by this promise, the possessed members of the Souma shall always return to each other under any circumstances. Yet, when these bonds shackle them from their freedom, it becomes an undesirable burden - a curse. As head of the clan, Akito is convinced that he shares a special connection with the other Soumas. While he desperately clings to this fantasy, the rest of the family remains isolated and suppressed by the fear of punishment. Tooru Honda, who as grown attached to the Soumas, is determined to break the chains that bind them. The companionship with her family and her friends encourages her to move forward with lifting the curse. However, due to confounding revelations, she struggles to find the tenacity to continue with her endeavours. With time slowly withering away, Tooru contends with an uncertain furture in hopes of reaching tranquility that may lie beyond all this commotion.There is also Fruits Basket: Prologue, a theatrical release movie that provides a prologue story and an epilogue after the TV anime.",Ended
Poketto monsutâ,,,,,,,
Henry Danger,2014,2025,English,31.0,6.7,"Henry Hart's afterschool job? Kid Danger: Captain Man's superhero sidekick. Fighting crime AND finishing homework? Villains, beware!",Ended
Under the Dome,2013,2015,English,60.0,6.5,"Under the Dome is the story of a small town that is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. The town's inhabitants must deal with surviving the post-apocalyptic conditions while searching for answers about the dome, where it came from and if and when it will go away.",Ended
Space Force,2020,2022,English,31.0,6.3,A workplace comedy centered around the people tasked with creating a sixth branch of the armed services — Space Force.,Ended
Timeless,2016,2018,English,60.0,7.3,"Timeless tells the story of a mysterious criminal who steals a secret state-of-the-art time machine, intent on destroying America as we know it by changing the past. The only hope is an unexpected team: a scientist, a soldier and a history professor, who must use the machine's prototype to travel back in time to critical events. While they must make every effort not to affect the past themselves, they must also stay one step ahead of this dangerous fugitive. But can this handpicked team uncover the mystery behind it all and end his destruction before it's too late?",Ended
Seutateueob,,,,,,,
Sweet Home,2020,2024,Korean,58.0,7.3,"Adapted from a popular webtoon of the same name, Sweet Home is a VFX/SFX filled thriller based on the unique world in which people turn into monsters that reflect their internal desires. Cha Hyun Soo, a reclusive high school student who moves into a new apartment called Green Home after a personal tragedy, faces a series of life changing situations that brings him out to the world to save others.",Ended
Warrior Nun,2020,2022,English,44.0,7.3,"Inspired by the Manga novels, Warrior Nun revolves around a 19 year-old woman who wakes up in a morgue with a new lease on life and a divine artifact embedded in her back. She discovers she is now part of an ancient order that has been tasked with fighting demons on Earth, and powerful forces representing both heaven and hell want to find and control her.",Ended
Party of Five,2020,2020,English,63.0,4.3,"Party of Five is a reboot of classic series, following the five Acosta children as they navigate daily life struggles to survive as a family unit after their parents are suddenly deported back to Mexico.",Ended
Lilyhammer,2012,2014,English,45.0,7.8,"Lilyhammer follows New York mobster Frank ""The Fixer"" Tagliano as he enters the federal witness protection program after ratting on his boss. A sports fan, Frank wants to make his new life in Lillehammer, the Norwegian town that hosted the 1994 Winter Olympics - or as he calls it ""Lilyhammer."" Frank has visions of a paradise of ""clean air, fresh white snow and gorgeous broads"" far away from the temptations of the Big Apple and from mob hit men. Reality, of course, turns out to be spectacularly different.",Ended
Frontier,2016,2018,English,47.0,7.3,"Set against the stunning, raw backdrop of 1700s Canada, Frontier is revolving around warring factions vying for control of the fur trade in a ruthless game of wealth and power. Irish stowaway Michael Smyth has barely stepped foot into the New World when he becomes embroiled in a dangerous battle between the fearless and violent Declan Harp and the formidable Lord Benton of the Hudson's Bay Company. A dramatic story of revenge and riches, betrayal and brutality, and survival of the fittest in the James Bay fur trade, everyone is gunning to be the last man standing – from the combustible Scottish Brown Brothers, to crafty ale house owner Grace Emberly, to treacherous Captain Chesterfield, to millionaire Samuel Grant. All are willing to do whatever it takes to hold the keys to the New World.",Ended
El Cartel de los Sapos - El Origen,,,,,,,
Fauda,2015,,Hebrew,45.0,7.7,"Fauda (Arabic for 'Chaos') depicts the two-sided story of the Israeli-Palestinian conflict. Doron, a commander of undercover Israeli unit operating inside Palestinian territories, and his team, are hunting down Hamas activist Abu-Ahmed. On the other side of the fence, the tragic life of Abu-Ahmed and his family, and the reasons for their escalating hatred towards Israel.",Running
Shin seiki evangerion,,,,,,,
12 Monkeys,2015,2018,English,59.0,7.7,"Inspired by the classic blockbuster film, which commemorated its 20th anniversary in 2015, 12 Monkeys explores the provocative story of a time traveler from a decimated future in a high-stakes race against the clock. Utilizing a dangerous and untested method of time travel, he journeys from 2043 to the present day on a mission to locate and eradicate the source of a deadly plague that will all but annihilate the human race.",Ended
Dirk Gently's Holistic Detective Agency,2016,2017,English,60.0,8.3,"Corpses—cops—trap—cult—assassins—Pararibulitis—vampires—lottery ticket—kitten—corgi—Everything is connected!Welcome to the world of Dirk Gently's Holistic Detective Agency; a trippy mystery that thrusts a reluctant sidekick into the bizarre world of an unconventional detective who believes in the interconnectedness of all things. When washed-up rocker Todd Brotzman stumbles upon the murder scene of a millionaire, all hell breaks loose. Eccentric detective, Dirk Gently, wholly believes they're destined to untangle the peculiar events surrounding the mystery together, whether Todd likes it or not! A collection of wild and dangerous characters' further infiltrate and complicate their world, each episode landing them a few random steps closer to uncovering the truth.The series is an adaptation of the wildly popular novels by Douglas Adams.",Ended
Sword Art Online,2012,,Japanese,25.0,7.6,"In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called: Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now...",To Be Determined
Troy: Fall of a City,2018,2018,English,60.0,5.1,"This epic tale of passion, revenge and intrigue chronicles the events of the Trojan War and the love affair between Paris and Helen.",Ended
